# JD_UTC, Flux, Err, XShift, YShift, FWHM_X,  FWHM_Y, FWHM, SKY, AIRMASS, ExpTime
8.737543539999984205e+03 1.001615402356513362e+00 2.313522945118876104e-03 0.000000000000000000e+00 0.000000000000000000e+00 4.319300000000000139e+00 4.319300000000000139e+00 4.319300000000000139e+00 4.265729967713356245e+02 1.146153774699999905e+00 2.500000000000000000e+01
8.737543990000151098e+03 9.993446523504760926e-01 2.307642341625709432e-03 -3.499999999999999778e-01 2.500000000000000000e-01 4.059899999999999842e+00 4.059899999999999842e+00 4.059899999999999842e+00 4.279337967610359215e+02 1.145568650870000038e+00 2.500000000000000000e+01
8.737544429999776185e+03 1.000167145938685387e+00 2.316568146745823578e-03 9.609999999999999432e+00 -3.660000000000000142e+00 3.906899999999999817e+00 3.906899999999999817e+00 3.906899999999999817e+00 4.295591967487335410e+02 1.145003218520000088e+00 2.500000000000000000e+01
8.737544859999790788e+03 9.976679585447372212e-01 2.304655043829554641e-03 9.359999999999999432e+00 -2.319999999999999840e+00 3.948199999999999932e+00 3.948199999999999932e+00 3.948199999999999932e+00 4.323941967272758689e+02 1.144427966180000089e+00 2.500000000000000000e+01
8.737545299999881536e+03 1.002585270688022723e+00 2.309823911879383979e-03 9.130000000000000782e+00 -2.439999999999999947e+00 3.809899999999999842e+00 3.809899999999999842e+00 3.809899999999999842e+00 4.333769967198371660e+02 1.143873780480000102e+00 2.500000000000000000e+01
8.737545729999896139e+03 9.974218877143194995e-01 2.303828212416759481e-03 9.480000000000000426e+00 -2.569999999999999840e+00 3.857200000000000184e+00 3.857200000000000184e+00 3.857200000000000184e+00 4.341455967140198027e+02 1.143323489729999975e+00 2.500000000000000000e+01
8.737546159999910742e+03 1.000005633587165210e+00 2.307193832365258667e-03 9.859999999999999432e+00 -3.049999999999999822e+00 3.877099999999999991e+00 3.877099999999999991e+00 3.877099999999999991e+00 4.324571967267990544e+02 1.142780088609999911e+00 2.500000000000000000e+01
8.737546600000001490e+03 9.961323468273260984e-01 2.305469991495490839e-03 9.710000000000000853e+00 -3.270000000000000018e+00 3.911300000000000221e+00 3.911300000000000221e+00 3.911300000000000221e+00 4.342841967129707541e+02 1.142241104390000039e+00 2.500000000000000000e+01
8.737547030000016093e+03 9.987931822498108403e-01 2.312814149013679276e-03 9.279999999999999361e+00 -3.200000000000000178e+00 4.275599999999999845e+00 4.275599999999999845e+00 4.275599999999999845e+00 4.328981967234611261e+02 1.141704140299999892e+00 2.500000000000000000e+01
8.737547460000030696e+03 9.985561104102596008e-01 2.314192174810205446e-03 9.619999999999999218e+00 -2.959999999999999964e+00 4.215200000000000280e+00 4.215200000000000280e+00 4.215200000000000280e+00 4.351787967061996483e+02 1.141160211070000097e+00 2.500000000000000000e+01
8.737547910000197589e+03 9.966308565506925010e-01 2.300492710744456246e-03 1.033000000000000007e+01 -2.770000000000000018e+00 3.982800000000000118e+00 3.982800000000000118e+00 3.982800000000000118e+00 4.347251967096328258e+02 1.140635159259999920e+00 2.500000000000000000e+01
8.737548340000212193e+03 9.998247669259126003e-01 2.308224804640650763e-03 9.460000000000000853e+00 -2.899999999999999911e+00 4.211999999999999744e+00 4.211999999999999744e+00 4.211999999999999744e+00 4.346369967103004228e+02 1.140117904570000062e+00 2.500000000000000000e+01
8.737548770000226796e+03 1.002345936243172142e+00 2.311684453705659895e-03 9.740000000000000213e+00 -2.430000000000000160e+00 4.121400000000000396e+00 4.121400000000000396e+00 4.121400000000000396e+00 4.324319967269897234e+02 1.139601582300000082e+00 2.500000000000000000e+01
8.737549199999775738e+03 1.001479318555152265e+00 2.317757099753781774e-03 9.250000000000000000e+00 -2.770000000000000018e+00 4.384100000000000108e+00 4.384100000000000108e+00 4.384100000000000108e+00 4.325705967259407316e+02 1.139091212789999918e+00 2.500000000000000000e+01
8.737549629999790341e+03 9.959359757394172785e-01 2.307149431292133176e-03 9.779999999999999361e+00 -3.180000000000000160e+00 4.025999999999999801e+00 4.025999999999999801e+00 4.025999999999999801e+00 4.382279966831207503e+02 1.138582285430000063e+00 2.500000000000000000e+01
8.737550069999881089e+03 1.000917807453314934e+00 2.311670688792814062e-03 9.669999999999999929e+00 -3.549999999999999822e+00 4.046299999999999564e+00 4.046299999999999564e+00 4.046299999999999564e+00 4.363001966977118968e+02 1.138081992620000094e+00 2.500000000000000000e+01
8.737550509999971837e+03 9.979876566272632976e-01 2.306886664060293045e-03 9.509999999999999787e+00 -3.169999999999999929e+00 4.028299999999999770e+00 4.028299999999999770e+00 4.028299999999999770e+00 4.375223966884612992e+02 1.137587698849999995e+00 2.500000000000000000e+01
