# JD_UTC, Flux, Err, XShift, YShift, FWHM_X,  FWHM_Y, FWHM, SKY, AIRMASS, ExpTime
8.648457513840403408e+03 1.008573742876422097e+00 6.369016615215574578e-03 -3.839724018809559425e+01 5.798877045348450388e+00 2.200000000000000178e+00 2.200000000000000178e+00 2.200000000000000178e+00 1.566192366715315984e+03 1.024934199999999906e+00 2.000000000000000000e+01
8.648457861240487546e+03 1.007056625846877829e+00 6.347264922341193036e-03 -3.845088506006932505e+01 5.980644357073438222e+00 2.160000000000000142e+00 2.160000000000000142e+00 2.160000000000000142e+00 1.550508573091947028e+03 1.025295499999999915e+00 2.000000000000000000e+01
8.648458209340460598e+03 1.006598597370159665e+00 6.337615421473148485e-03 -3.776878222790393380e+01 5.894320508935948943e+00 2.129999999999999893e+00 2.129999999999999893e+00 2.129999999999999893e+00 1.615766955700549488e+03 1.025661300000000109e+00 2.000000000000000000e+01
8.648458556640427560e+03 1.009769503559207138e+00 6.329925223960045089e-03 -3.764540066561855980e+01 6.154854239998282850e+00 2.149999999999999911e+00 2.149999999999999911e+00 2.149999999999999911e+00 1.384170964167668217e+03 1.026031899999999997e+00 2.000000000000000000e+01
8.648458903940394521e+03 1.002664854446954967e+00 6.275033597597778727e-03 -3.753116154932713755e+01 6.085165029043679397e+00 2.209999999999999964e+00 2.209999999999999964e+00 2.209999999999999964e+00 1.393279558454241169e+03 1.026406799999999953e+00 2.000000000000000000e+01
8.648459252140484750e+03 1.016724671264467084e+00 6.333054576821803283e-03 -3.719201199038997885e+01 5.941824069389929797e+00 2.370000000000000107e+00 2.370000000000000107e+00 2.370000000000000107e+00 1.222440558464972582e+03 1.026785099999999895e+00 2.000000000000000000e+01
8.648459598440676928e+03 1.011198295131391589e+00 6.289748140952125359e-03 -3.725135283417753840e+01 6.310954015333574141e+00 2.450000000000000178e+00 2.450000000000000178e+00 2.450000000000000178e+00 1.114405168805803669e+03 1.027169299999999952e+00 2.000000000000000000e+01
8.648459945740643889e+03 1.003959918906373927e+00 6.253871999726929969e-03 -3.678666586404318650e+01 6.288838286976237590e+00 2.629999999999999893e+00 2.629999999999999893e+00 2.629999999999999893e+00 1.187796591957846886e+03 1.027557499999999902e+00 2.000000000000000000e+01
8.648460293240379542e+03 1.008923856105402805e+00 6.287516409270920911e-03 -3.693861078954004995e+01 6.128396254319411263e+00 2.169999999999999929e+00 2.169999999999999929e+00 2.169999999999999929e+00 1.157773027021806229e+03 1.027951000000000059e+00 2.000000000000000000e+01
8.648460640540346503e+03 1.004425651796162056e+00 6.238123769245409490e-03 -3.674085185292003075e+01 6.138494407737647762e+00 2.410000000000000142e+00 2.410000000000000142e+00 2.410000000000000142e+00 1.251385785113324118e+03 1.028348400000000051e+00 2.000000000000000000e+01
