hjd,lc,fwhm_x,fwhm_y,airmass,fwhm
2456569.50286,2877.47231008,1013.52789307,925.395751953,1.52501678467,3.52999997139
2456569.50364,2881.64363375,1014.10888672,925.70715332,1.51779127121,3.55999994278
2456569.50439,2879.96979035,1014.62231445,926.036193848,1.51107633114,3.47000002861
2456569.50518,2885.44091925,1016.06207275,926.449890137,1.50445258617,3.42000007629
2456569.50596,2876.6442736,1012.12145996,924.637084961,1.49763274193,3.51999998093
2456569.50672,2864.10606977,1013.86016846,925.109863281,1.49156570435,3.43000006676
2456569.50747,2892.41847071,1013.82891846,925.148986816,1.48530471325,3.29999995232
2456569.50819,2879.98094451,1015.12573242,925.402770996,1.4793869257,3.42000007629
2456569.5089,2883.75711825,1015.24975586,925.649780273,1.47353863716,3.15000009537
2456569.50962,2902.73240579,1016.20465088,925.723571777,1.4677542448,3.48000001907
2456569.5104,2873.70811587,1012.15997314,925.169189453,1.46164381504,3.5
2456569.51112,2865.7719241,1012.92999268,925.347106934,1.45601582527,3.40000009537
2456569.51184,2882.46841341,1013.87017822,925.649841309,1.4504442215,3.43000006676
2456569.51256,2889.91009345,1014.34771729,926.121582031,1.44495034218,3.38000011444
2456569.51328,2874.79231148,1015.22540283,926.307983398,1.43953108788,3.43000006676
2456569.514,2870.11882717,1016.84851074,926.794494629,1.43415796757,3.46000003815
2456569.51477,2890.45551929,1011.42584229,924.738037109,1.42857193947,3.53999996185
2456569.51549,2865.59513548,1011.85546875,925.195617676,1.42335438728,3.47000002861
2456569.51621,2862.7947839,1012.38366699,925.565856934,1.41820287704,3.66000008583
2456569.51693,2879.06279611,1012.93212891,925.809692383,1.41312348843,3.6400001049
2456569.51765,2867.56795791,1013.9354248,926.026733398,1.40809893608,3.65000009537
2456569.51837,2870.81482014,1013.94677734,926.323242188,1.40313327312,3.61999988556
2456569.51909,2875.8462741,1014.70623779,926.834228516,1.39823901653,3.82999992371
2456569.51984,2867.30013771,1015.2008667,927.045837402,1.39319837093,3.74000000954
2456569.5206,2867.62268936,1012.39788818,925.353210449,1.38818204403,3.73000001907
2456569.52131,2878.21452803,1013.2164917,925.469116211,1.38348245621,3.81999993324
2456569.52204,2867.21698789,1013.96179199,925.941711426,1.37882184982,3.97000002861
2456569.52279,2877.57072737,1014.2869873,926.268371582,1.37401008606,4.21000003815
2456569.52354,2869.81139708,1015.5557251,927.049072266,1.36927485466,4.07999992371
2456569.5243,2857.92065711,1012.41363525,925.194763184,1.36454916,4.07000017166
2456569.52502,2869.80411203,1013.28039551,925.444946289,1.36014306545,4.17000007629
2456569.52574,2850.79775587,1014.17773438,926.163818359,1.35577571392,4.34999990463
2456569.52646,2865.24216823,1014.63439941,926.614501953,1.35146617889,4.48999977112
2456569.52718,2866.71132016,1015.94604492,927.02746582,1.34719824791,4.46000003815
2456569.52795,2875.72581233,1011.2220459,925.394470215,1.3427246809,4.84000015259
2456569.52867,2871.71897945,1012.2479248,925.633056641,1.33858764172,4.98999977112
2456569.52939,2852.95571047,1012.55712891,925.831542969,1.33448934555,4.32999992371
2456569.53012,2851.91351398,1012.88098145,926.578796387,1.33040964603,5.0
2456569.53084,2859.37582447,1013.40673828,927.072814941,1.32641971111,4.71000003815
2456569.53156,2858.31609936,1014.23480225,927.348144531,1.32246267796,4.80000019073
2456569.53228,2863.45814374,1014.40258789,927.35534668,1.31853699684,4.32999992371
2456569.53564,2873.14093848,1012.29217529,925.203430176,1.30097353458,3.22000002861
2456569.53636,2873.24851328,1013.33843994,925.48059082,1.297336936,3.20000004768
2456569.53708,2876.398689,1014.0513916,925.913146973,1.2937527895,3.3900001049
2456569.5378,2879.01852902,1015.02490234,926.281311035,1.29021310806,3.43000006676
2456569.53855,2860.78377148,1016.21539307,926.361999512,1.2865691185,3.31999993324
2456569.53931,2868.53225929,1011.42926025,925.248779297,1.28293669224,3.38000011444
2456569.54003,2869.71107934,1011.79754639,925.251037598,1.27950453758,3.43000006676
2456569.54076,2875.8684323,1012.6673584,925.598083496,1.27611136436,3.47000002861
2456569.54148,2880.24449384,1013.56884766,925.669372559,1.27279019356,3.5
2456569.54221,2883.82159226,1013.88677979,925.664367676,1.26949477196,3.56999993324
2456569.54293,2876.8952144,1014.3024292,925.89630127,1.26625549793,3.61999988556
2456569.54365,2858.81167903,1015.38098145,926.434448242,1.2630572319,3.51999998093
2456569.54437,2861.18124256,1015.58551025,926.643188477,1.25990045071,3.58999991417
2456569.54513,2885.51401656,1011.50970459,924.586547852,1.25661957264,3.58999991417
2456569.54585,2882.9412249,1012.06872559,924.849243164,1.2535392046,3.63000011444
2456569.54657,2876.08124432,1012.86474609,924.788269043,1.25049626827,3.49000000954
2456569.54729,2864.4778664,1013.63934326,925.011474609,1.24750125408,3.49000000954
2456569.54801,2860.85572567,1014.34448242,925.155822754,1.24453771114,3.45000004768
2456569.54873,2863.54095249,1015.059021,925.286254883,1.24161434174,3.54999995232
2456569.54945,2882.47718908,1015.81219482,925.68536377,1.23873209953,3.44000005722
2456569.55017,2878.04622162,1016.46374512,925.85748291,1.23589110374,3.54999995232
2456569.55093,2879.50906451,1012.01080322,924.871582031,1.23292851448,3.50999999046
2456569.55165,2873.06553876,1012.16851807,925.088684082,1.23016643524,3.41000008583
2456569.55237,2865.69276925,1012.9821167,925.315490723,1.22743427753,3.65000009537
2456569.55309,2888.94024428,1013.47216797,925.487121582,1.22473824024,3.51999998093
2456569.55381,2864.75184636,1013.75683594,925.67175293,1.22207474709,3.48000001907
2456569.55453,2876.42161506,1014.12896729,925.977111816,1.21944463253,3.6400001049
2456569.55525,2855.21517385,1015.23907471,926.386474609,1.21684920788,3.44000005722
2456569.55597,2852.77005706,1015.59741211,926.577819824,1.21428859234,3.61999988556
2456569.55675,2869.70129023,1012.18463135,925.136169434,1.21159768105,3.59999990463
2456569.55749,2868.92144072,1013.08184814,925.289916992,1.20902097225,3.59999990463
2456569.55821,2853.13468002,1013.7277832,925.664611816,1.20656490326,3.78999996185
2456569.55893,2868.78822726,1014.20147705,925.926025391,1.20414960384,3.61999988556
2456569.55965,2868.20603346,1014.82324219,926.279724121,1.20175886154,3.50999999046
2456569.56037,2862.22224665,1015.38848877,926.376281738,1.1994073391,3.5
2456569.56109,2857.57921501,1016.12939453,926.83972168,1.19708621502,3.36999988556
2456569.56185,2878.28977808,1012.30114746,925.341491699,1.19468224049,3.49000000954
2456569.56257,2873.61698703,1012.53271484,925.523986816,1.1924251318,3.40000009537
2456569.5633,2865.20262827,1013.09295654,925.901245117,1.19018030167,3.54999995232
2456569.56402,2857.54192138,1014.02636719,926.263793945,1.1879761219,3.48000001907
2456569.56474,2875.00734404,1014.58325195,926.399658203,1.1858164072,3.43000006676
2456569.56546,2873.37344842,1015.23815918,926.70489502,1.18368494511,3.47000002861
