# JD_UTC, Flux, Err, XShift, YShift, FWHM_X,  FWHM_Y, FWHM, SKY, AIRMASS, ExpTime
8.638439619999839124e+03 9.918890879184190101e-01 2.790576795463807144e-03 0.000000000000000000e+00 0.000000000000000000e+00 2.239100000000000090e+00 2.239100000000000090e+00 2.239100000000000090e+00 4.533899999999999864e+02 1.005561556980000049e+00 3.000000000000000000e+01
8.638440150000149515e+03 9.845442108772799461e-01 2.772635838367090017e-03 -2.800000000000000266e-01 -5.000000000000000000e-01 2.402899999999999814e+00 2.402899999999999814e+00 2.402899999999999814e+00 4.551299999999999955e+02 1.005388212980000029e+00 3.000000000000000000e+01
8.638440669999919919e+03 9.861474955440400203e-01 2.778606524914595168e-03 -6.800000000000000488e-01 -7.800000000000000266e-01 2.186999999999999833e+00 2.186999999999999833e+00 2.186999999999999833e+00 4.583000000000000114e+02 1.005191192080000073e+00 3.000000000000000000e+01
8.638441300000060437e+03 9.863627362017229894e-01 2.776008060335650052e-03 -9.799999999999999822e-01 -6.899999999999999467e-01 2.147699999999999942e+00 2.147699999999999942e+00 2.147699999999999942e+00 4.622699999999999818e+02 1.004992054029999915e+00 3.000000000000000000e+01
8.638441980000119656e+03 9.842323632199340144e-01 2.775737305891098818e-03 -9.000000000000000222e-01 -1.060000000000000053e+00 2.194199999999999928e+00 2.194199999999999928e+00 2.194199999999999928e+00 4.668799999999999955e+02 1.004841818540000098e+00 3.000000000000000000e+01
8.638442520000040531e+03 9.913890481076279571e-01 2.788680155079388111e-03 -9.399999999999999467e-01 -8.699999999999999956e-01 2.218300000000000161e+00 2.218300000000000161e+00 2.218300000000000161e+00 4.641200000000000045e+02 1.004701291679999997e+00 3.000000000000000000e+01
8.638443059999959587e+03 9.862897445769549520e-01 2.778968036408395979e-03 -1.129999999999999893e+00 -1.250000000000000000e+00 2.257099999999999884e+00 2.257099999999999884e+00 2.257099999999999884e+00 4.605799999999999841e+02 1.004571541220000030e+00 3.000000000000000000e+01
8.638443599999880462e+03 9.887020074948420501e-01 2.784972489605999114e-03 -5.200000000000000178e-01 -1.229999999999999982e+00 2.338200000000000056e+00 2.338200000000000056e+00 2.338200000000000056e+00 4.586100000000000136e+02 1.004450306040000074e+00 3.000000000000000000e+01
8.638444130000190853e+03 9.938343656634399670e-01 2.801169716823378054e-03 -4.199999999999999845e-01 -1.129999999999999893e+00 2.494600000000000151e+00 2.494600000000000151e+00 2.494600000000000151e+00 4.534300000000000068e+02 1.004338517299999900e+00 3.000000000000000000e+01
8.638444649999959438e+03 9.852474266891130261e-01 2.787432178942643966e-03 -9.000000000000000222e-01 -1.229999999999999982e+00 2.485199999999999854e+00 2.485199999999999854e+00 2.485199999999999854e+00 4.568500000000000227e+02 1.004233201539999953e+00 3.000000000000000000e+01
